,business_id,name,neighborhood,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories
7320,sHIJktNJTTJPOGhzXMI2Fg,"""Restaurant Fifty Nine""",Milliken,"""4186 Finch Avenue E, Unit 27""",Toronto,ON,M1S 5C2,43.8144634798,-79.2979431152,3.0,10,1,Fast Food;Chinese;Restaurants
7333,g-cwYRdm_mLg13nYRty84w,"""Bolands Kitchen""",Mount Pleasant and Davisville,"""575 Mt Pleasant Road""",Toronto,ON,M4S 2M6,43.7034604,-79.3879812,4.0,13,1,Seafood;American (Traditional);Canadian (New);Restaurants
7334,sAXy1yJRLllTm5WrJbJGAA,"""Del Frisco's Double Eagle Steak House""",South Park,"""4725 Piedmont Row Dr, Ste 170""",Charlotte,NC,28210,35.1516702293,-80.8394354582,4.0,283,1,Seafood;Cocktail Bars;Restaurants;Bars;Wine Bars;Nightlife;Steakhouses
7338,hYX0z2C6Th5XmcrKOP31fQ,"""Double Helix Wine & Whiskey Lounge""",Southeast,"""6599 Las Vegas Blvd S, Ste 150b""",Las Vegas,NV,89119,36.068132,-115.17776,4.0,314,1,Bars;Restaurants;Tapas/Small Plates;American (New);Nightlife;Lounges;Wine Bars;Tapas Bars;Cocktail Bars
7339,RrCgc8eAKbHu-2IpQXg6Rw,"""Hiroba Sushi""",Anthem,"""10720 S Eastern Ave, Ste 100""",Henderson,NV,89052,35.9977219,-115.1016838,4.5,297,1,Japanese;Sushi Bars;Restaurants
7367,qLdT2DiuFiTN-Ss-5xg3ow,"""Thai-Palast""",Diemershalde,"""Haußmannstr. 5""",Stuttgart,BW,70188,48.7786,9.19071,4.0,22,1,Asian Fusion;Restaurants;Pan Asian;Thai;Chinese
7404,TC6P9n3noJLR8KpE-i2OyA,"""Jack in the Box""",Highland Creek,"""10525 Mallard Creek Rd""",Charlotte,NC,28262,35.342416,-80.766969,2.5,12,1,Fast Food;Restaurants
7410,-WQhVJnBmyapFn0digQJwg,"""FruitLand Las Vegas""",Southeast,"""7400 Las Vegas Blvd S""",Las Vegas,NV,89123,36.0525864119,-115.169242777,4.5,14,1,Farmers Market;Specialty Food;Restaurants;Health Markets;Grocery;Desserts;Gluten-Free;Food;Fruits & Veggies
7411,sWaWTnmRgOt6OE4v84y7fw,"""A&W""",Greektown,"""654 Danforth Avenue""",Toronto,ON,M4J 1L1,43.6791035,-79.344712,2.0,6,1,Restaurants;Burgers;Food;Fast Food
7425,lw6eINeY7tNThGOdlvrgBQ,"""Lovage""",Old Town,"""38 Saint Mary's Street""",Edinburgh,EDH,EH1 1SX,55.9498501,-3.1833664,4.5,10,1,Restaurants;Scottish;Modern European
7453,j4s9X08gDTZH3MwcByfCHQ,"""Pizza Pronto & Gyro House - Avalon""",Avalon,"""518 California Ave""",Avalon,PA,15202,40.502209,-80.0706483,4.0,27,1,Italian;Sandwiches;Burgers;Food Delivery Services;Restaurants;Food;Pizza;Chicken Wings
7475,QnHbzG_oP_llujHJZZ9Q9A,"""Fionn MacCool's Irish Pub""",Mount Pleasant and Davisville,"""1867 Yonge St""",Toronto,ON,M4S 1X8,43.6969461304,-79.3960864001,3.0,13,1,Beer;Wine & Spirits;Comfort Food;Bars;Food;Irish;Gastropubs;Restaurants;Nightlife
7479,q6QjMYwBlkwum4kj88t4Sg,"""Pita & Grill""",Cooksville,"""134 Dundas Street W""",Mississauga,ON,L5B 1H9,43.5773518,-79.6196897,4.0,40,1,Restaurants;Mediterranean;Sandwiches
7491,RThuRlhMdowhtY8vITEIzQ,"""Mineo's Pizza House""",Squirrel Hill,"""2128 Murray Ave""",Pittsburgh,PA,15217,40.4328561,-79.9232546,3.5,260,1,Ice Cream & Frozen Yogurt;Food;Restaurants;Italian;Pizza;Desserts
7504,fX3ukB5oZe5H_4LdM4zVRw,"""Highland Fish & Chips""",Scarborough,"""3357 Ellesmere Road""",Scarborough,ON,M1C 1H1,43.7877854,-79.1835371,4.0,24,1,Seafood;Restaurants
7507,7SF6nn5L8djCFva8IbwRXw,"""Frites Alors""",Côte-des-Neiges,"""3527 Lacombe Avenue""",Montréal,QC,H3T 1M2,45.4972956,-73.6232036,4.0,13,1,Restaurants;Canadian (New)
7516,uGW5mFIm62PFF8bpk0wiMg,"""Romaine Empire""",The Strip,"""3570 South Las Vegas Blvd""",Las Vegas,NV,89109,36.1161559,-115.1750576,3.5,13,1,Restaurants;Sandwiches;Food Court;Salad;Seafood
7539,fi_yw_5KIx04ZWlhfWVjNA,"""Rib 'N Reef Steakhouse & Cigare Lounge""",Mont-Royal,"""8105 Décarie Boulevard""",Montréal,QC,H4P 2H5,45.4987311,-73.6589635,4.0,42,1,Restaurants;Steakhouses;Seafood
7549,bhVReN50h-lLfgIWA5Ovgg,"""Penn Station East Coast Subs""",Bloomfield,"""4815 Centre Ave, Ste 102""",Pittsburgh,PA,15213,40.4536277,-79.9470256,3.5,27,1,Cheesesteaks;Sandwiches;Restaurants;Italian
7554,1lLJDy73uBp_I2LJ0B0Fkw,"""Santos""",Ville-Marie,"""191, Rue St-Paul W""",Montréal,QC,H2Y 1Z5,45.5027574,-73.5552764,3.0,64,1,Tapas Bars;Nightlife;Bars;Lounges;Restaurants
7574,YnvUFIZVvxsL5L4PEmWcUQ,"""Joe De's Favorite Pizza & Restaurant""",Clark-Fulton,"""3329 Fulton Rd""",Cleveland,OH,44109,41.4635112,-81.7094112,3.5,13,1,Pizza;Restaurants
7590,r49iBfbnfoK7yt4rdsL_7g,"""Fushimi""",Church-Wellesley Village,"""491 Church Street""",Toronto,ON,M4Y 2C6,43.6651873,-79.3805874,3.5,180,1,Restaurants;Food;Japanese
7596,m5KPPufE6KOuBV-FUti0AA,"""Vinum im Literaturhaus""",Universität,"""Breitscheidstr. 4""",Stuttgart,BW,70174,48.7788996851,9.168821387,3.0,40,1,Restaurants;Italian;Beer;Wine & Spirits;Food
7613,n6_ah26nj9V6eo7PZNUQzg,"""Mama Rose""",Larimer,"""121 Mayflower St""",Pittsburgh,PA,15206,40.464046,-79.91521,4.5,7,1,Restaurants;Caribbean
7619,wxR8kxiL1LkJ7bGlwdKd9A,"""Restaurant Makoto""",Rosemont-La Petite-Patrie,"""7112 Boulevard Saint-Laurent""",Montréal,QC,H2S 3E2,45.5340634397,-73.6170998588,4.0,18,1,Japanese;Restaurants;Korean
7620,duG7f4gq2hS-QW50s-g4zA,"""Chipotle Mexican Grill""",Bluff Acres,"""4628 E Washington Ave""",Madison,WI,53704,43.1304445832,-89.305695506,3.5,34,1,Fast Food;Restaurants;Mexican
7637,VQGetWNN1f0dMWQ6ehDAVg,"""Morton's The Steakhouse""",Tower City,"""1600 W 2nd St""",Cleveland,OH,44113,41.4972786,-81.6936338,3.0,68,1,American (Traditional);Restaurants;Steakhouses;Bars;Nightlife
7645,eHXUyMf64ynMzHaf0LdGgg,"""Tups Specialty Sandwiches""",Southeast,"""2381 E Windmill Ln""",Las Vegas,NV,89123,36.041104,-115.1208125,4.5,136,1,Restaurants;Delis;American (Traditional);Sandwiches
7651,xMbr0C6EuvaDEhDXWTFUzg,"""KoJa Restaurant""",Liberty Village,"""120 Atlantic Avenue""",Toronto,ON,M6K 1X9,43.6396681734,-79.4212111734,3.5,69,1,Sushi Bars;Restaurants
7676,A21FJqt8jIE6w0hdzmvnmg,"""Cafe Zinho""",Shadyside,"""238 Spahr St""",Pittsburgh,PA,15232,40.4578038,-79.9274383,4.0,78,1,Restaurants;Mediterranean;Portuguese
7677,fCRTQbMeE62md8RBpPabew,"""Restaurant La Popessa""",Ville-Marie,"""159 Saint-Antoine Rue W""",Montréal,QC,H2Z 1H2,45.5047546,-73.5600245,3.0,14,1,Italian;Restaurants
7684,oi5BvNYKud9bGC74XcnwEA,"""Kelseys Original Roadhouse""",Scarborough,"""1972 Eglinton Avenue E""",Scarborough,ON,M1L 2M6,43.7288642644,-79.2846982563,3.0,30,1,Comfort Food;American (Traditional);Burgers;Canadian (New);Italian;Nightlife;Bars;Restaurants
7691,dxvYRtLYv8IDo7NN8KQCwA,"""Goat Coffee Co""",East York,"""893 Pape Avenue""",Toronto,ON,M4K 3V6,43.6845387,-79.3468135,4.0,33,1,Food;Restaurants;Coffee & Tea
7702,ZntrjpC6xAPHPVIYc_TUmA,"""John Michael's Pub""",Ville-Marie,"""458 Place Jacques-Cartier""",Montréal,QC,H2Y 3B3,45.5078921,-73.5539921,3.0,18,1,Nightlife;Restaurants;Bars;Sports Bars;Sandwiches;Burgers;Pubs
7733,PvjKC_kJPiXF7OHQahZdpQ,"""Sushi Taxi - Griffingtown""",Sud-Ouest,"""1744 Rue Notre-Dame Ouest""",Montréal,QC,H3J 1M3,45.4885758,-73.568285,3.0,11,1,Asian Fusion;Japanese;Restaurants;Sushi Bars
7749,KRWa12MkvE7sgaEnNhSWtQ,"""Sushi 930""",Niagara,"""930 King Street W""",Toronto,ON,M5V 1P5,43.6423272,-79.4111596,4.0,44,1,Sushi Bars;Restaurants
7760,TqL0ytKAucWdW2mR7EbayA,"""Tamarind""",Oakland,"""257 N Craig St""",Pittsburgh,PA,15213,40.4511441,-79.9519468,4.0,200,1,Indian;Restaurants
7763,Khrvl0l9aYG_XyVJft7CVg,"""B.good""",Yonge and Eglinton,"""75 Eglinton Avenue E""",Toronto,ON,M4P 3A4,43.7069835,-79.3956515,2.5,8,1,Vegan;Juice Bars & Smoothies;Event Planning & Services;Restaurants;Salad;Caterers;Gluten-Free;Burgers;Food
7772,LEzaRCdhDfO2eM75HZNnUQ,"""Blue Sea Sushi and Izakaya""",Southeast,"""500 E Windmill Ln, Ste 165""",Las Vegas,NV,89123,36.0428966,-115.1520552,4.0,328,1,Restaurants;Japanese;Sushi Bars
7801,H5TyHevMYmYGJeaN7LXe9Q,"""G&V Royal Mile Hotel""",Old Town,"""1 George IV Bridge""",Edinburgh,EDH,EH1 1AD,55.9491975105,-3.1927834857,4.5,46,1,Event Planning & Services;Restaurants;Modern European;Bars;Hotels & Travel;Hotels;Nightlife
7806,BWm-6W3k2cTYWW6Fs5MNtA,"""The Jerk Joint""",Queen Street West,"""238 Queen Street W""",Toronto,ON,M5V 1Z9,43.650344,-79.390459,3.5,63,1,Food;Caribbean;Restaurants;Ethnic Food;Specialty Food
7814,R9cM1tmBkQ03lnbE_a-U4Q,"""Gal's Sushi""",Langstaff,"""23A-5 Glen Cameron Road""",Thornhill,ON,L3T 2A9,43.8051782,-79.420498,3.5,87,1,Japanese;Restaurants;Sushi Bars;Seafood
7819,YxgY6tVOpXSoV-1LXlGtBQ,"""Port Union Fish & Chips""",Scarborough,"""65 Rylander Boulevard""",Scarborough,ON,M1B 5M5,43.7971438,-79.1498878,3.5,15,1,Seafood;Restaurants
7824,POuF7alk2QVqVlcSOOjV3Q,"""Thai Thai Restaurant""",Anthem,"""10890 S Eastern Ave, Ste 109""",Henderson,NV,89052,35.9951672,-115.0998256,4.5,27,1,Thai;Restaurants
7826,RPe_cSOxq_qkG-LbxBlOyw,"""Hyde Park Prime Steakhouse""",North Side,"""247 N Shore Dr""",Pittsburgh,PA,15212,40.446175,-80.0082771,4.0,147,1,Restaurants;Steakhouses
7848,CzcfYhCbzPoVEgVZfOgw8A,"""The Boiler 65""",Detroit-Shoreway,"""6410 Detroit Rd""",Cleveland,OH,44102,41.484496107,-81.7297799885,3.5,54,1,Cajun/Creole;Seafood;Restaurants
7852,LVKdUEcnFAPuLsfD_ahlRw,"""Rabble""",New Town,"""55a Frederick Street""",Edinburgh,EDH,EH2 1LH,55.9539336,-3.2008129,4.0,32,1,Bars;Restaurants;Hotels;Champagne Bars;Beer Bar;Hotels & Travel;Event Planning & Services;Modern European;Nightlife
7856,21QPpgP86hABa5ZmfLvooA,"""Freshii""",Yonge and Eglinton,"""2300 Yonge St.""",Toronto,ON,M4P 2W6,43.7074247,-79.3990708,3.0,13,1,Restaurants
7876,O_viTWlhSkiF6szzk34qCQ,"""Bella Pizza""",Plateau-Mont-Royal,"""5161 Avenue Papineau""",Montréal,QC,H2H 1W1,45.5361619,-73.5812604,2.5,8,1,Restaurants;Pizza
7878,KUlm5OuKYJ6nGj0EUwcY9w,"""Lalibela Ethiopian Restaurant""",Bickford Park,"""869 Bloor Street W""",Toronto,ON,M6G 1M4,43.6620391,-79.4248298,3.5,104,1,Ethiopian;Restaurants
7879,joJ2ovL1qz6iRpVvl4F7qA,"""Le Petit Sao""",Verdun,"""40 Place Du Commerce, Suite 20""",Verdun,QC,H3E,45.4670022536,-73.5440630813,4.0,8,1,Food Court;Vietnamese;Restaurants;Asian Fusion
7893,kBe-uPMtDgY4ozLvY-qA4w,"""Lorbeer Brasserie""",Outremont,"""381 Avenue Laurier Ouest""",Montreal,QC,H2V 2K3,45.519099,-73.5963442,3.5,12,1,Beer;Wine & Spirits;Nightlife;Restaurants;Pubs;Brasseries;Bars;Food
7897,EjS8cFHBK_rvgXqfEU4jKw,"""Phyllo Bar Melina's""",Plateau-Mont-Royal,"""5733 Avenue Du Parc""",Montréal,QC,H2V 4H2,45.5236777,-73.605135,4.5,23,1,Restaurants;Greek
7916,gxMa7j1LXIUxxBoP0osDpA,"""O'Thym""",Ville-Marie,"""1112 Boulevard de Maisonneuve Est""",Montréal,QC,H2L 1Z5,45.5183731,-73.558126,4.5,121,1,Restaurants;French
7933,SRcvkPiiI4VIZAzobIPqJg,"""Asia Garden Restaurant""",Etobicoke,"""2648 Islington Avenue""",Etobicoke,ON,M9V 2X5,43.7379318,-79.5657146,3.0,6,1,Chinese;Restaurants
7948,966W5oXOBW0ZWhNYy0yjcA,"""Wendy's Noodle Cafe""",Chinatown,"""3401 S Jones Blvd""",Las Vegas,NV,89146,36.1275474479,-115.225216895,4.0,519,1,Restaurants;Noodles;Chinese
7953,qRymrsLmlA34bC8PvNoujg,"""Market Grille Cafe""",Centennial,"""7070 N Durango Dr""",Las Vegas,NV,89149,36.2892014,-115.2873343,4.0,461,1,Caterers;Greek;Event Planning & Services;Restaurants;Mediterranean;Italian
7960,_PqvLxLW1uZJlJZzGMWErQ,"""Bubble Republic on Bay""",Downtown Core,"""637B Bay Street""",Toronto,ON,M5G 1M7,43.6569163,-79.3838421,3.5,37,1,Food;Restaurants;Taiwanese;Tea Rooms
7962,SlVBhW2zSTlQitbEPJkoAA,"""McDonald's""",Ville-Marie,"""1500 Avenue Atwater""",Montréal,QC,H3Z 1X5,45.4889878,-73.5859141,2.5,10,1,Fast Food;Restaurants;Burgers
7990,Zd4ZznYCrMCdEGVzytb-4g,"""McDonald's""",Financial District,"""100 King Street W""",Toronto,ON,M5X 2A1,43.6486362,-79.3817439,5.0,6,1,Fast Food;Burgers;Restaurants
8006,lGe2y7TRdPQgePJFQy6P7w,"""Sushi Circle""",Neue Vorstadt,"""Rotebühlplatz 18""",Stuttgart,BW,70173,48.7749332,9.1725472,3.0,44,1,Japanese;Restaurants;Sushi Bars
8016,rHmILK3NBQWiRQMr9Sk8ew,"""PT's""",Summerlin,"""8584 W Lake Mead Blvd""",Las Vegas,NV,89128,36.1994962,-115.2838739,4.0,24,1,Pubs;American (New);Bars;Nightlife;Sports Bars;Restaurants
8022,biqnUUHYHsNBCI5BpMM8Xw,"""The Feathers Pub""",Upper Beach,"""962 Kingston Road""",Toronto,ON,M4E 1S7,43.6806855,-79.287543,3.5,22,1,Pubs;Restaurants;British;Nightlife;Bars
8028,PmYZ85Nt3-kKe6iqFkImTw,"""Little Big Burger""",Highland Creek,"""10012 Benfield Rd""",Charlotte,NC,28269,35.3726959875,-80.7887308445,4.0,23,1,Beer Bar;Restaurants;Nightlife;Burgers;Bars
8034,0bjFYstj8USMzEV4ZQldjA,"""Redhawk Coffee""",Oakland,"""120 Meyran Ave""",Pittsburgh,PA,15213,40.4407077,-79.9586246,5.0,91,1,Desserts;Restaurants;Food;Breakfast & Brunch;Food Trucks;Coffee & Tea
8039,F3oDNZGUJBIHHy4wQ5jRGw,"""Dairy Queen""",Southwest,"""7715 S Rainbow Blvd""",Las Vegas,NV,89113,36.0482275,-115.2436689,2.0,84,1,Ice Cream & Frozen Yogurt;Restaurants;Fast Food;Desserts;Food
8056,mikaCujT2MtuoGdUTkp-Ow,"""Vintage Wine Lounge""",Uptown,"""317 S Church St""",Charlotte,NC,28202,35.2261079,-80.8468595,3.5,13,1,Bars;Restaurants;Wine Bars;Nightlife;Tapas/Small Plates
8079,EyoTq9dd4oKXhXND_imOzA,"""Sweet Poké""",University,"""4680 S Maryland Pkwy, Ste 300""",Las Vegas,NV,89119,36.104435,-115.1367851,4.5,53,1,Asian Fusion;Restaurants;Sushi Bars;Hawaiian
8082,L1PsHcUvdiZvViwYjwGK-A,"""Nino D'Aversa Bakery""",Langstaff,"""7287 Yonge St""",Thornhill,ON,L3T 2A9,43.8046382,-79.421045,2.5,57,1,Restaurants;Italian;Ice Cream & Frozen Yogurt;Bakeries;Food
8084,LI9sVHgnX-DzFyvWmPDRgA,"""Guru Lukshmi""",Meadowvale Village,"""7070 St Barbara Boulevard, Unit 45 & 50""",Mississauga,ON,L5W 0E6,43.639331702,-79.7159669611,4.0,299,1,Restaurants;Indian
8086,Olp4uGp0MZEAScKtwWtQYQ,"""Jaspers Deli""",Financial District,"""55 University Avenue""",Toronto,ON,M5J 2H7,43.6468085,-79.383929,4.0,6,1,Delis;Sandwiches;Delicatessen;Food;Restaurants
8098,GCr0eTVnVzFE72c-VJezoQ,"""Angelo's Nido Italia""",Little Italy,"""12020 Mayfield Rd""",Cleveland,OH,44106,41.5083694,-81.5985636,4.0,77,1,Nightlife;Italian;Bars;Restaurants;Wine Bars
8108,M18VeJ8ck6Njw_pnyaRxOQ,"""The Captain's Boil""",Milliken,"""4733 Steeles Ave East, Unit 1""",Scarborough,ON,M1V 4S5,43.824667,-79.3005938,3.5,44,1,Seafood;Asian Fusion;Restaurants;Cajun/Creole
8115,bPq5Hu-kNhzUVE6H_vywyg,"""Bread & Bowl""",Downtown Core,"""2 Murray Street""",Toronto,ON,M5G 1X5,43.6562796349,-79.3906696122,4.0,26,1,Restaurants;Pizza;Sandwiches;Salad;Soup
8116,uuP5z_KPXPrTFNO7STCAYA,"""Kalbi""",Ville-Marie,"""1017 Boulevard Saint-Laurent""",Montréal,QC,H2Z 1J4,45.5080611,-73.5595872,3.5,46,1,Restaurants;Korean;Barbeque;Sushi Bars
8126,TvhpG74DvdoF4MA0vLlOLw,"""Buck's Pizza""",Lake Edge,"""219 Cottage Grove Rd""",Madison,WI,53716,43.0836891,-89.3225822,4.0,22,1,Restaurants;Pizza
8127,-OHxHEKE7l2VddpQLqaiKQ,"""IKEA""",Etobicoke,"""1475 The Queensway""",Etobicoke,ON,M8Z 1T3,43.6183667,-79.5345087,3.0,85,1,Shopping;Kitchen & Bath;Restaurants;Furniture Stores;Home Decor;Home & Garden
8170,dC12QfpfVr4nvktrLK03Hg,"""Papas""",Plateau-Mont-Royal,"""3547, boulevard Saint-Laurent""",Montréal,QC,H2X 2T6,45.513747,-73.571765,3.0,6,1,Restaurants;Portuguese
8175,KmvwcEle06KNfNhyV-QO1A,"""LaBella's Pizzeria""",Centennial,"""6530 N Buffalo Dr, Ste 130""",Las Vegas,NV,89131,36.2806602,-115.2655826,4.0,55,1,Pizza;Restaurants
8185,OxkW1Eco5R6l-krtkEhwhQ,"""Pendeli's Pizza""",Notre-Dame-de-Grâce,"""5599 Chemin de La Côte Saint Luc""",Montréal,QC,H3X 2C9,45.4785637,-73.6289603,4.0,29,1,Pizza;Restaurants
8195,R6KUx086738CnjCMhAm9Iw,"""Cafe Musa""",Royal Mile,"""16 North Bank Street""",Edinburgh,EDH,EH1 2LP,55.9497232,-3.1944583,4.0,11,1,Food;Coffee & Tea;Restaurants;Sandwiches;Tea Rooms
8198,VPaEJyi2hZJ6Bc2nBlhqEw,"""Food Shoppe""",Squirrel Hill,"""5878 Northumberland St""",Pittsburgh,PA,15217,40.4415325,-79.920606,4.5,11,1,Food;Delis;Sandwiches;Restaurants;Grocery
8206,KCl3RR3tC22E3cDdJXabTA,"""341 Pizza""",Cooksville,"""2325 Hurontario Street""",Mississauga,ON,L5A 4C7,43.5751918,-79.6074216,4.5,6,1,Pizza;Restaurants
8220,ihUPg3T3ruEOtSyFrOFXnA,"""Freshii""",South Park,"""4625 Piedmont Row Dr, Ste 115C""",Charlotte,NC,28210,35.1520582191,-80.8396173906,4.0,7,1,Breakfast & Brunch;Vegan;Juice Bars & Smoothies;Gluten-Free;Salad;Restaurants;Food
8230,bpWL50frgkM4esttzs-haQ,"""Trattoria Santa Lucia""",Rathaus,"""Steinstr. 3""",Stuttgart,BW,70173,48.7739388,9.177142,4.0,40,1,Italian;Restaurants;Seafood
8253,--DaPTJW3-tB1vP-PfdTEg,"""Sunnyside Grill""",Corso Italia,"""1218 Saint Clair Avenue W""",Toronto,ON,M6E,43.6778069,-79.4446742,3.5,39,1,Restaurants;Breakfast & Brunch
8261,VbRT8CJlnCO9_rd0zW-rUw,"""Willy Street Pub & Grill""",Williamson - Marquette,"""852 Williamson St""",Madison,WI,53703,43.079507,-89.370069,3.5,18,1,Nightlife;Restaurants;Bars;American (Traditional);Dive Bars
8280,Qc3AcWYUTWglEa-9-RACwQ,"""Jody's Deli""",Upper Beach,"""64 Kingston Road""",Toronto,ON,M4L 1S4,43.6690017,-79.3119198,3.0,23,1,Delis;Restaurants;Food;Ice Cream & Frozen Yogurt
8293,Dt-ygvMchiw0wrWpocGOeg,"""Byte Cafe""",Goodrich Kirtland,"""3615 Superior Ave E""",Cleveland,OH,44114,41.5128891,-81.6654561,4.5,38,1,Cafes;Food;Specialty Food;Soup;Salad;Restaurants;Sandwiches;Coffee & Tea
8327,FhLkJcFWZmljl9DtmVb_Bw,"""Dic Ann's""",Montréal-Nord,"""10910 Boulevard Pie-IX""",Montréal-Nord,QC,H1H 2A4,45.5908897,-73.6374519,4.0,19,1,Restaurants;Burgers;Fast Food
8349,An-JJle53UMHokU4MwFktg,"""Deer Garden Signatures""",Milliken,"""633 Silver Star Boulevard ., Unit 125""",Toronto,ON,M1V 5N1,43.822058,-79.298592,3.5,122,1,Chinese;Restaurants
8353,grzKamxEuXTZrTkiztLQGg,"""Babu Catering & Take Out""",Scarborough,"""4800 Sheppard Avenue E, Suite 201-204""",Scarborough,ON,M1S 4N5,43.7916879,-79.2518987,4.0,96,1,Restaurants;Indian
8356,6zZDTZ4ZZEYfN268iPz0uQ,"""RED""",Capitol,"""316 West Washington Ave, Ste 100""",Madison,WI,53703,43.07284,-89.388113,4.0,117,1,Bars;Lounges;Food;Sushi Bars;Desserts;Cocktail Bars;Restaurants;Nightlife
8364,MYD9cd9lbYCqN-B6DgCtkQ,"""Paramount Fine Foods""",St. Lawrence,"""85 Front Street""",Toronto,ON,M5E 1B8,43.6487496,-79.3723437,2.5,36,1,Restaurants;Mediterranean;Salad;Pizza
8370,GoXOq5SegVlAfaTwtDGTVQ,"""Kam Shing""",Côte-des-Neiges,"""6730 Chemin de la Côte-des-Neiges""",Montréal,QC,H3S 2B2,45.5032173,-73.6381055,3.5,27,1,Chinese;Restaurants
8406,w_D_T_N1PHIrB3eX7x_kVg,"""Bird Bar""",Sud-Ouest,"""1800 Rue Notre-Dame O""",Montréal,QC,H3J 1M5,45.4883508,-73.5685281,3.5,34,1,Chicken Wings;Restaurants;Nightlife;Chicken Shop
8410,oQIm77kYhudya-36pZ-3_w,"""Ma Maison""",Etobicoke,"""4243 Dundas Street W""",Etobicoke,ON,M8X 1Y3,43.6591853,-79.5136334,3.5,22,1,Food;Specialty Food;Restaurants;Cafes;French;Desserts;Coffee & Tea;Bakeries
8412,oD8kSlXINk5u7d6HQh2SxQ,"""Ottavio""",Saint-Laurent,"""1134  Boulevard Marcel-Laurin""",Montréal,QC,H4R 1J7,45.5101248594,-73.6897272265,3.5,19,1,Restaurants;Pizza
8437,GlVFfWKY7p0CKLC-bfTalw,"""Alexandria Falafel""",Parkdale,"""1233 Queen St W""",Toronto,ON,M6K 1L5,43.6419088,-79.430167,3.0,16,1,Middle Eastern;Mediterranean;Falafel;Restaurants
8453,WjkjrsOzMAQ2wgY9tVyS0Q,"""QDOBA Mexican Eats""",Oakland,"""3712 Forbes Ave""",Pittsburgh,PA,15213,40.4412764229,-79.9570812285,3.0,35,1,Restaurants;Caterers;Event Planning & Services;Mexican;Fast Food
8461,dPWHFb_sDduzcJdOZSqR5Q,"""Wing King Cafe""",Steele Creek,"""13209 Carowinds Blvd, Ste a""",Charlotte,NC,28273,35.1171439,-80.9566571,4.0,143,1,Chicken Wings;Restaurants;American (Traditional)
8462,_2trMwFsh5-IqqEcQ-OLVA,"""Mac's Speed Shop""",Steele Creek,"""2414 Sandy Porter Rd""",Charlotte,NC,28273,35.1358715,-80.9401401,3.5,245,1,Bars;Chicken Wings;American (Traditional);Nightlife;Sports Bars;Restaurants;Barbeque
8470,UByM7N0mF-ylIGUuIWHCtA,"""Sullivan's Steakhouse""",South End,"""1928 South Blvd, Ste 200""",Charlotte,NC,28203,35.2101676933,-80.8599308917,4.0,218,1,Steakhouses;Restaurants
8490,gCbS0X8w7vZ9CLWvMNXocA,"""Jacques' Bistro Du Parc""",Yorkville,"""126 Cumberland St""",Toronto,ON,M5R 1A6,43.6700941,-79.3920355,4.0,41,1,Restaurants;French
8520,jk0StiAMwYlye6kHMHvduA,"""Bonnys Cuisine Végétarienne et Biologique""",Sud-Ouest,"""1748 Rue Notre-Dame O""",Montréal,QC,H3J 1M3,45.4884785,-73.5681943,3.5,29,1,Vegetarian;Restaurants
8537,Se-co1eXBho5A4YwMfKMIQ,"""Griddlecakes""",Spring Valley,"""6085 S Fort Apache, Ste 180""",Las Vegas,NV,89148,36.0782601,-115.2985593,4.0,206,1,Breakfast & Brunch;Salad;Restaurants;Sandwiches
8547,Oyq-IQDbYJEkW0ovqRj4jw,"""La Graine Brûlée""",Ville-Marie,"""921 Rue Sainte-Catherine Est""",Montréal,QC,H2L 2E5,45.5166531,-73.5578139,4.5,28,1,Cafes;Restaurants
8554,aeomionBr_VTsIg119vtSw,"""Pastitsio""",Lawrenceville,"""3716 Butler St""",Pittsburgh,PA,15201,40.4666119,-79.9642428,4.0,91,1,Restaurants;Greek;Food;Street Vendors;Mediterranean;Delis
8571,8BT-nH2aWf6nyIdK797OHA,"""Avant Gout Restaurant""",Summer Hill,"""1108 Yonge Street""",Toronto,ON,M4W 2L6,43.6786225,-79.3904647,3.5,14,1,French;Restaurants
8578,NH8_LT1za4P88s6GG4hHng,"""Golden Pizza""",East York,"""1201 Av Broadview""",East York,ON,M4K 2T1,43.6892987,-79.3549193,3.5,19,1,Restaurants;Pizza
8579,0iPXuywgu37dDpwLMudACQ,"""Taco Bell""",Anthem,"""11051 So. Eastern""",Henderson,NV,89012,35.994716,-115.10097,2.5,26,1,Tex-Mex;Mexican;Fast Food;Restaurants
8597,oTUpxF_E9D1n_LhN5N0NXg,"""Popeyes Louisiana Kitchen""",Sunrise,"""2856 S Nellis Blvd""",Las Vegas,NV,89121,36.13775,-115.064997,2.0,20,1,Fast Food;Restaurants;American (Traditional);Chicken Wings
8620,u3nwislXMKKwkpHAXAArbQ,"""KJ Kitchen""",Chinatown,"""5960 Spring Mountain Rd""",Las Vegas,NV,89146,36.1258098,-115.2230979,3.5,282,1,Restaurants;Chinese
8666,xwoM2Zc38DFKv3-8dCU8Pw,"""Manhattan Pizza IV""",Northwest,"""3950 N Tenaya Way""",Las Vegas,NV,89129,36.2322239,-115.2509803,3.0,48,1,Restaurants;Pizza
8671,wkKlpSx3OcoGJiv7p8VZzw,"""Sparrow + Wolf""",Chinatown,"""4480 Spring Mountain Rd, Ste 100""",Las Vegas,NV,89102,36.1266955,-115.2013006,4.5,205,1,Restaurants;American (New);Nightlife;Cocktail Bars;Bars
